Block Type,96well,,
Chemistry,SYBR_GREEN,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\LCB\20190426\SSDA-0.eds,,
Experiment Run End Time,2019-04-26 13:05:40 PM PDT,,
Instrument Type,steponeplus,,
Passive Reference,ROX,,
,,,
Well,Cycle,SYBR,ROX
A10,72,,
A11,72,,
A12,72,,
B1,72,320273.9063,23007.64063
B2,72,,
B3,72,407485.875,25972.90625
B4,72,,
B5,72,349126.4063,22752.19141
B6,72,,
B7,72,347207.4375,23446.28516
B8,72,,
B9,72,362606.8125,23626.8125
B10,72,,
B11,72,,
B12,72,,
C1,72,418811.9375,29414.66406
C2,72,,
C3,72,395210.9063,26093.25391
C4,72,,
C5,72,333768.6875,23183.17578
C6,72,,
C7,72,369180.5938,27050.53906
C8,72,,
C9,72,371367,24117.67969
C10,72,,
C11,72,,
C12,72,,
D1,72,363450.5313,25302.41797
D2,72,,
D3,72,342703.5,24302.46094
D4,72,,
D5,72,326829.0313,24393.40625
D6,72,,
D7,72,331730.3438,26160.13281
D8,72,,
D9,72,410375.0938,30993.43359
D10,72,,
D11,72,,
D12,72,,
E1,72,350035.9063,27767.30469
E2,72,,
E3,72,360454.9063,28064.67578
E4,72,,
E5,72,354453.3125,29860.32422
E6,72,,
E7,72,335816.9063,27470.69922
E8,72,,
E9,72,360483.375,28391.09375
E10,72,,
E11,72,,
E12,72,,
F1,72,255333.25,34357.0625
F2,72,,
F3,72,231565.1875,30869.1875
F4,72,,
F5,72,225678.5625,32386.72266
F6,72,,
F7,72,225236.3594,32348.33984
F8,72,,
F9,72,249394.0625,33153.27344
F10,72,,
F11,72,,
F12,72,,
G1,72,34643.49219,35671.67578
G2,72,,
G3,72,41709.74609,35444.17188
G4,72,,
G5,72,35502.20703,36776.42188
G6,72,,
G7,72,35663.43359,34407.42969
G8,72,,
G9,72,48359.49609,45165.3125
G10,72,,
G11,72,,
G12,72,,
H1,72,-350.2207642,34216.62891
H2,72,,
H3,72,2654.861572,37563.78125
H4,72,,
H5,72,-8269.060547,34303.33594
H6,72,,
H7,72,-440.3630981,37041.375
H8,72,,
H9,72,-10620.45605,-2039.865601
H10,72,,
H11,72,,
H12,72,,
A1,73,-9545.21582,31599.59961
A2,73,,
A3,73,-10563.64258,40258.71484
A4,73,,
A5,73,-10702.60059,33999.57031
A6,73,,
A7,73,-11028.56836,35820.41406
A8,73,,
A9,73,-10431.17676,40022.14063
A10,73,,
A11,73,,
A12,73,,
B1,73,-11079.67676,29707.29297
B2,73,,
B3,73,-14932.43848,37579.01563
B4,73,,
B5,73,-13379.58691,32707.21289
B6,73,,
B7,73,-15198.4502,31830.87695
B8,73,,
B9,73,-11883.96973,33533.98438
B10,73,,
B11,73,,
B12,73,,
C1,73,-14090.98242,40127.17969
C2,73,,
C3,73,-16042.99316,36270.98047
C4,73,,
C5,73,-18075.0918,32043.07813
C6,73,,
C7,73,-15062.92871,22753.73047
C8,73,,
C9,73,-13247.83789,35086.6875
C10,73,,
C11,73,,
C12,73,,
D1,73,-14962.04492,33762.50781
D2,73,,
D3,73,-16495.30469,32909.31641
D4,73,,
D5,73,-16033.86133,31139.92188
D6,73,,
D7,73,-14110.19141,22835.79688
D8,73,,
D9,73,-14094.45605,36537.74609
D10,73,,
D11,73,,
D12,73,,
E1,73,-15047.12891,35258.33203
E2,73,,
E3,73,-14806.8291,35708.49609
E4,73,,
E5,73,-14327.12793,36531.03125
E6,73,,
E7,73,-14545.21582,34862.26953
E8,73,,
E9,73,-13997.25293,31784.66602
E10,73,,
E11,73,,
E12,73,,
F1,73,-15303.60449,37651.90625
F2,73,,
F3,73,-14585.13086,35564.33203
F4,73,,
F5,73,-12311.34961,34845.14453
F6,73,,
F7,73,-15167.17969,35390.9375
F8,73,,
F9,73,-14297.32324,37957.22266
F10,73,,
F11,73,,
F12,73,,
G1,73,-13431.62012,33961.89844
G2,73,,
G3,73,-14328.8877,35454.11719
G4,73,,
G5,73,-14573.46875,36945
G6,73,,
G7,73,-15138.09375,33998.04688
G8,73,,
G9,73,-13832.85938,44469.70703
G10,73,,
G11,73,,
G12,73,,
H1,73,-15158.80664,32034.51172
H2,73,,
H3,73,-14600.17383,36476.21484
H4,73,,
H5,73,-13380.03223,34002.71484
H6,73,,
H7,73,-15444.13379,35711.81641
H8,73,,
H9,73,-11172.90234,-2117.179199
H10,73,,
H11,73,,
H12,73,,
A1,74,296138.9375,24969.08203
A2,74,,
A3,74,365510.5938,30829.625
A4,74,,
A5,74,321004.8438,23729.79688
A6,74,,
A7,74,355028.4375,26283.37109
A8,74,,
A9,74,389511.6563,27881.12891
A10,74,,
A11,74,,
A12,74,,
B1,74,278060.0625,23982.01172
B2,74,,
B3,74,349373.4063,26899.90625
B4,74,,
B5,74,313850.5313,22553.74609
B6,74,,
B7,74,325438,23859.15234
B8,74,,
B9,74,326614.8438,23490.30859
B10,74,,
B11,74,,
B12,74,,
C1,74,360784.9375,30545.93359
C2,74,,
C3,74,339667.2188,27055.26172
C4,74,,
C5,74,309224.8125,23885.92188
C6,74,,
C7,74,342904.5938,26569.35156
C8,74,,
C9,74,336277.8438,24353.98828
C10,74,,
C11,74,,
C12,74,,
D1,74,311159.6875,26748.29688
D2,74,,
D3,74,310694.5625,24739.46094
D4,74,,
D5,74,300350.9688,24535.375
D6,74,,
D7,74,304584.5625,25341.64844
D8,74,,
D9,74,383870.8125,30947.41016
D10,74,,
D11,74,,
D12,74,,
E1,74,281482.5938,28794.67969
E2,74,,
E3,74,317090.0313,28557.11328
E4,74,,
E5,74,317648.6875,29723.13281
E6,74,,
E7,74,300777.25,26826.57422
E8,74,,
E9,74,328069,28182.47656
E10,74,,
E11,74,,
E12,74,,
F1,74,161455.0781,34567.41406
F2,74,,
F3,74,160284.7813,30902.16992
F4,74,,
F5,74,189357.4844,31422.50391
F6,74,,
F7,74,201577.3281,31260.41211
F8,74,,
F9,74,215218.3906,32737.83398
F10,74,,
F11,74,,
F12,74,,
G1,74,7575.288574,32382.88281
G2,74,,
G3,74,16364.08105,33484.21094
G4,74,,
G5,74,20685.74609,35181.63672
G6,74,,
G7,74,24508.80859,32764.83984
G8,74,,
G9,74,34287.04297,43204.23047
G10,74,,
G11,74,,
G12,74,,
H1,74,-7659.5,31972.72461
H2,74,,
H3,74,-3942.024414,35124.95313
H4,74,,
H5,74,-7765.699707,32217.16406
H6,74,,
H7,74,-3425.213379,35266.48047
H8,74,,
H9,74,-10612.52734,-2055.56958
H10,74,,
H11,74,,
H12,74,,
A1,75,345223.0313,23878.08203
A2,75,,
A3,75,422965.625,29833.40625
A4,75,,
A5,75,359631.3125,23608.09766
A6,75,,
A7,75,394427.0625,26118.74219
A8,75,,
A9,75,437108.6875,27216.91016
A10,75,,
A11,75,,
A12,75,,
B1,75,316553.0938,22770.55469
B2,75,,
B3,75,406994.3438,25879.75391
B4,75,,
B5,75,347077.6563,22507.35156
B6,75,,
B7,75,346261.7813,23281.57813
B8,75,,
B9,75,362977.7813,23512.09375
B10,75,,
B11,75,,
B12,75,,
C1,75,420470.9688,29557.66406
C2,75,,
C3,75,395513.9063,26024.70313
C4,75,,
C5,75,335847.9688,23350.22656
C6,75,,
C7,75,369956.1875,26951.67969
C8,75,,
C9,75,372955.8125,24188.16016
C10,75,,
C11,75,,
C12,75,,
D1,75,365881.2188,25301.58203
D2,75,,
D3,75,343975.8438,24149.62891
D4,75,,
D5,75,326479.0625,23966.08594
D6,75,,
D7,75,334682.25,26131.64063
D8,75,,
D9,75,412841.8438,30908.23047
D10,75,,
D11,75,,
D12,75,,
E1,75,360580.0313,27296.14063
E2,75,,
E3,75,369280.9063,27473.97266
E4,75,,
E5,75,364179.9688,28959.38672
E6,75,,
E7,75,347228.75,27067.97656
E8,75,,
E9,75,369779.5313,27804.06641
E10,75,,
E11,75,,
E12,75,,
F1,75,311718.25,32471.18359
F2,75,,
F3,75,285064.8125,29067.56641
F4,75,,
F5,75,277935.125,30295.10547
F6,75,,
F7,75,283077.5625,30717.54297
F8,75,,
F9,75,305538.125,31096.92969
F10,75,,
F11,75,,
F12,75,,
G1,75,68564.35156,35021.40625
G2,75,,
G3,75,80616.52344,34650.60938
G4,75,,
G5,75,71085.88281,36382.51563
G6,75,,
G7,75,71653.96094,33885.62891
G8,75,,
G9,75,92159.84375,44709.09766
G10,75,,
G11,75,,
G12,75,,
H1,75,7401.325684,34067.66406
H2,75,,
H3,75,10449.81641,37445.92188
H4,75,,
H5,75,-5319.671875,34103.83594
H6,75,,
H7,75,7007.678711,36848.98438
H8,75,,
H9,75,-10642.92676,-2050.942383
H10,75,,
H11,75,,
H12,75,,
A1,76,-9641.102539,31514.74219
A2,76,,
A3,76,-9946.798828,40181.30469
A4,76,,
A5,76,-10206.40137,34035.17188
A6,76,,
A7,76,-10675.87207,35789.88281
A8,76,,
A9,76,-10124.40234,40000.01953
A10,76,,
A11,76,,
A12,76,,
B1,76,-11119.8418,29642.26953
B2,76,,
B3,76,-14946.91406,37460.75781
B4,76,,
B5,76,-13392.51563,32772.80078
B6,76,,
B7,76,-15210.8584,31978.35742
B8,76,,
B9,76,-11889.91211,33510.67969
B10,76,,
B11,76,,
B12,76,,
C1,76,-14110.03125,40112.83594
C2,76,,
C3,76,-16054.64941,36299.31641
C4,76,,
C5,76,-18080.47852,31902.50391
C6,76,,
C7,76,-15081.82129,22670.37891
C8,76,,
C9,76,-13259.20508,35122.78125
C10,76,,
C11,76,,
C12,76,,
D1,76,-14964.66016,33673.78516
D2,76,,
D3,76,-16480.39648,32904.55859
D4,76,,
D5,76,-16009.55469,30979.04883
D6,76,,
D7,76,-14129.61523,22678.7207
D8,76,,
D9,76,-14101.12402,36549.59375
D10,76,,
D11,76,,
D12,76,,
E1,76,-15042.51367,35180.96484
E2,76,,
E3,76,-14801.44238,35628.83984
E4,76,,
E5,76,-14331.31152,36576.71484
E6,76,,
E7,76,-14497.5,34616.75391
E8,76,,
E9,76,-14022.04004,31905.45508
E10,76,,
E11,76,,
E12,76,,
F1,76,-15291.7002,37586.35547
F2,76,,
F3,76,-14603.55859,35446.27734
F4,76,,
F5,76,-12398.67773,34961.83984
F6,76,,
F7,76,-15167.95801,35210.78906
F8,76,,
F9,76,-14277.72461,38103.21094
F10,76,,
F11,76,,
F12,76,,
G1,76,-13429.4834,33861.08203
G2,76,,
G3,76,-14339.76563,35487.89063
G4,76,,
G5,76,-14563.0166,36917.43359
G6,76,,
G7,76,-15173.28516,33997.4375
G8,76,,
G9,76,-13891.07129,44365.99219
G10,76,,
G11,76,,
G12,76,,
H1,76,-15171.16113,32016.64844
H2,76,,
H3,76,-14614.47949,36364.55859
H4,76,,
H5,76,-13396.55371,34085.05078
H6,76,,
H7,76,-15434.05371,35750.72656
H8,76,,
H9,76,-11194.40137,-2150.863281
H10,76,,
H11,76,,
H12,76,,
A1,77,294368.3125,24825.64453
A2,77,,
A3,77,365392.5,30740.92578
A4,77,,
A5,77,321675.5313,23686.5625
A6,77,,
A7,77,354734.5,26095.69531
A8,77,,
A9,77,389017.2188,27800.07422
A10,77,,
A11,77,,
A12,77,,
B1,77,278452.4375,24084.99609
B2,77,,
B3,77,349905.6563,26877.64063
B4,77,,
B5,77,315159.375,22609.66406
B6,77,,
B7,77,325072.6563,23746.52344
B8,77,,
B9,77,324971.4375,23407.09375
B10,77,,
B11,77,,
B12,77,,
C1,77,361485.5313,30442.36328
C2,77,,
C3,77,340939.25,27057.30469
C4,77,,
C5,77,308869.0313,23617.60156
C6,77,,
C7,77,343007,26347.47656
C8,77,,
C9,77,336098.5938,24212.83984
C10,77,,
C11,77,,
C12,77,,
D1,77,312162.6563,26438.52344
D2,77,,
D3,77,312829.8438,24551.48438
D4,77,,
D5,77,302012.625,24348.63672
D6,77,,
D7,77,308264.1563,25340.33984
D8,77,,
D9,77,386745.1875,30871.125
D10,77,,
D11,77,,
D12,77,,
E1,77,294722.5625,28219.97266
E2,77,,
E3,77,329249.4063,28052.79297
E4,77,,
E5,77,331587.5625,29188.26563
E6,77,,
E7,77,313543.3125,26382.03516
E8,77,,
E9,77,338283.2188,27667.61719
E10,77,,
E11,77,,
E12,77,,
F1,77,220441.6563,33245.14844
F2,77,,
F3,77,213338.0625,29655.70703
F4,77,,
F5,77,239979.6719,30237.69922
F6,77,,
F7,77,252322.125,29994.9375
F8,77,,
F9,77,260976.4844,31251.11328
F10,77,,
F11,77,,
F12,77,,
G1,77,23158.84961,32234.59375
G2,77,,
G3,77,39398.62109,33235.69922
G4,77,,
G5,77,47355.375,34894.98438
G6,77,,
G7,77,54409.40625,32426.81641
G8,77,,
G9,77,70521.20313,42938.8125
G10,77,,
G11,77,,
G12,77,,
H1,77,-4082.789063,31919.86914
H2,77,,
H3,77,296.4155579,35072.96094
H4,77,,
H5,77,-3922.304932,32122.89258
H6,77,,
H7,77,2271.854004,35336.25391
H8,77,,
H9,77,-10645.03906,-2048.665039
H10,77,,
H11,77,,
H12,77,,
A1,78,343785.6563,23742.83984
A2,78,,
A3,78,422712.0313,29713.22656
A4,78,,
A5,78,359010.9063,23459.52344
A6,78,,
A7,78,393729.0625,26127.85547
A8,78,,
A9,78,435774.25,27028.9375
A10,78,,
A11,78,,
A12,78,,
B1,78,318908.625,22940.70313
B2,78,,
B3,78,407341.0938,25919.29297
B4,78,,
B5,78,346666.3125,22427.13281
B6,78,,
B7,78,348017.9688,23505.48438
B8,78,,
B9,78,362264.375,23542.01172
B10,78,,
B11,78,,
B12,78,,
C1,78,419803.0938,29315.85938
C2,78,,
C3,78,397096.1875,26054.82031
C4,78,,
C5,78,335410.9375,23232.70703
C6,78,,
C7,78,368607.9688,26924.17188
C8,78,,
C9,78,371833.1563,23988.13672
C10,78,,
C11,78,,
C12,78,,
D1,78,365401.375,25020.71875
D2,78,,
D3,78,345619.5313,24064.65234
D4,78,,
D5,78,329902.375,24248.42969
D6,78,,
D7,78,333508.5,25720.92188
D8,78,,
D9,78,413488.7813,30793.76172
D10,78,,
D11,78,,
D12,78,,
E1,78,364677.2188,26983.14844
E2,78,,
E3,78,374502.0313,27163.67188
E4,78,,
E5,78,370818.8125,28744.93359
E6,78,,
E7,78,351205.3438,26345.78516
E8,78,,
E9,78,375694.7188,27500.50391
E10,78,,
E11,78,,
E12,78,,
F1,78,348331.0938,31012.35156
F2,78,,
F3,78,318770.7188,27676.51172
F4,78,,
F5,78,314154.5938,29067.05469
F6,78,,
F7,78,320300.4375,29028.41016
F8,78,,
F9,78,341308.4063,29631.40625
F10,78,,
F11,78,,
F12,78,,
G1,78,120254.5469,33938.50781
G2,78,,
G3,78,139138.2344,33593.07813
G4,78,,
G5,78,125804.2422,35355.74219
G6,78,,
G7,78,126397.1172,33168.32813
G8,78,,
G9,78,158780.9219,43739.05078
G10,78,,
G11,78,,
G12,78,,
H1,78,22159.41797,33909.39844
H2,78,,
H3,78,25138.14258,37227.8125
H4,78,,
H5,78,-46.81896973,33925.00781
H6,78,,
H7,78,21274.2832,36964.44531
H8,78,,
H9,78,-10651.74805,-2058.674561
H10,78,,
H11,78,,
H12,78,,
A1,79,-9399.105469,31537.78125
A2,79,,
A3,79,-8692.399414,40077.86719
A4,79,,
A5,79,-9589.796875,33936.72266
A6,79,,
A7,79,-10156.78027,35719.86328
A8,79,,
A9,79,-9445.984375,40052.59375
A10,79,,
A11,79,,
A12,79,,
B1,79,-11101.15625,29489.84375
B2,79,,
B3,79,-14931.01855,37492.44922
B4,79,,
B5,79,-13370.1709,32754.75977
B6,79,,
B7,79,-15221.16016,31958.20508
B8,79,,
B9,79,-11849.04102,33167.87891
B10,79,,
B11,79,,
B12,79,,
C1,79,-14104.51953,40086.21875
C2,79,,
C3,79,-16028.17676,36230.24219
C4,79,,
C5,79,-18066.70313,31894.08398
C6,79,,
C7,79,-15055.75098,22647.75
C8,79,,
C9,79,-13250.38281,35130.71875
C10,79,,
C11,79,,
C12,79,,
D1,79,-14936.21191,33699.30859
D2,79,,
D3,79,-16479.00195,32906.03906
D4,79,,
D5,79,-16004.96387,31058.90039
D6,79,,
D7,79,-14137.92578,22639.52539
D8,79,,
D9,79,-14062.32129,36707.60156
D10,79,,
D11,79,,
D12,79,,
E1,79,-15028.31152,35208.53125
E2,79,,
E3,79,-14777.24414,35582.42188
E4,79,,
E5,79,-14322.80078,36635.66016
E6,79,,
E7,79,-14500.25684,34631.71094
E8,79,,
E9,79,-14015.61816,31978.90625
E10,79,,
E11,79,,
E12,79,,
F1,79,-15311.11426,37563.51563
F2,79,,
F3,79,-14590.70801,35514.14453
F4,79,,
F5,79,-12458.21094,35019.0625
F6,79,,
F7,79,-15129.22461,35215.65625
F8,79,,
F9,79,-14260.12012,38220.66406
F10,79,,
F11,79,,
F12,79,,
G1,79,-13436.53223,33954.11328
G2,79,,
G3,79,-14327.72949,35422.85547
G4,79,,
G5,79,-14582.99707,36715.73438
G6,79,,
G7,79,-15150.7998,33974.45703
G8,79,,
G9,79,-13887.30664,44370.27734
G10,79,,
G11,79,,
G12,79,,
H1,79,-15180.55859,31993.7207
H2,79,,
H3,79,-14638.44043,36411.14063
H4,79,,
H5,79,-13402.1875,34102.36719
H6,79,,
H7,79,-15446.74707,35926.69141
H8,79,,
H9,79,-11167.48145,-2142.791504
H10,79,,
H11,79,,
H12,79,,
A1,80,293989,24816.05859
A2,80,,
A3,80,364646.4688,30662.92969
A4,80,,
A5,80,321120.8125,23670.49219
A6,80,,
A7,80,354481,26145.71484
A8,80,,
A9,80,388549.3438,27718.82813
A10,80,,
A11,80,,
A12,80,,
B1,80,277846.9063,23968.59375
B2,80,,
B3,80,349155.2188,26872.39063
B4,80,,
B5,80,314241.2813,22561.79297
B6,80,,
B7,80,324215.5625,23605.64453
B8,80,,
B9,80,323702.9688,23237.92969
B10,80,,
B11,80,,
B12,80,,
C1,80,360496.8125,30255.45313
C2,80,,
C3,80,341355.0625,27103.12891
C4,80,,
C5,80,310303,23764.25
C6,80,,
C7,80,344740,26543.73047
C8,80,,
C9,80,336172.3438,24090.07422
C10,80,,
C11,80,,
C12,80,,
D1,80,313339.9063,26278.94922
D2,80,,
D3,80,314165.625,24493.19141
D4,80,,
D5,80,302093.2813,24005.03516
D6,80,,
D7,80,309461.5625,25303.63281
D8,80,,
D9,80,388311.875,30683.33984
D10,80,,
D11,80,,
D12,80,,
E1,80,302358.7188,27874.45313
E2,80,,
E3,80,334796.125,27623.34375
E4,80,,
E5,80,336978.875,28492.30078
E6,80,,
E7,80,320414.4063,26142.78516
E8,80,,
E9,80,346373.5938,27464.9375
E10,80,,
E11,80,,
E12,80,,
F1,80,264912.4063,32056.83984
F2,80,,
F3,80,250560.6094,28567.91797
F4,80,,
F5,80,271689.75,28892.65625
F6,80,,
F7,80,284839.4063,28779.03906
F8,80,,
F9,80,293275.75,30327.75
F10,80,,
F11,80,,
F12,80,,
G1,80,50206.44531,31944.31641
G2,80,,
G3,80,77844.78906,32629.76563
G4,80,,
G5,80,92155.35156,34603.92969
G6,80,,
G7,80,102879.4688,31796.33594
G8,80,,
G9,80,128956.6563,42331.07813
G10,80,,
G11,80,,
G12,80,,
H1,80,2655.770996,31762.1875
H2,80,,
H3,80,8285.46582,34975.14844
H4,80,,
H5,80,2211.829102,32036.35547
H6,80,,
H7,80,13240.51855,35099.03125
H8,80,,
H9,80,-10610.04492,-2067.813721
H10,80,,
H11,80,,
H12,80,,
A1,81,343489.7813,23741.75
A2,81,,
A3,81,423531.5625,29611.19531
A4,81,,
A5,81,358809.5938,23410.21875
A6,81,,
A7,81,393936.7813,25988.67188
A8,81,,
A9,81,435037.1875,26947.03516
A10,81,,
A11,81,,
A12,81,,
B1,81,317552.4375,22741.59375
B2,81,,
B3,81,406900.25,25867.17188
B4,81,,
B5,81,345495.8125,22330.91406
B6,81,,
B7,81,344623.0938,23010.26953
B8,81,,
B9,81,361956.5313,23618.82031
B10,81,,
B11,81,,
B12,81,,
C1,81,419543.7188,29257.83594
C2,81,,
C3,81,397672.5313,26032.31641
C4,81,,
C5,81,337196.1563,23352.96484
C6,81,,
C7,81,370964.9688,26995.27734
C8,81,,
C9,81,370770.6563,23819.625
C10,81,,
C11,81,,
C12,81,,
D1,81,366666.6875,24976.29297
D2,81,,
D3,81,346504.8125,23991.97656
D4,81,,
D5,81,329526.5625,23949.125
D6,81,,
D7,81,338087.0938,26121.25
D8,81,,
D9,81,413935.1875,30612.21875
D10,81,,
D11,81,,
D12,81,,
E1,81,366971.0313,26771.93359
E2,81,,
E3,81,376733.25,26848.18359
E4,81,,
E5,81,372998.9063,28284.6875
E6,81,,
E7,81,357601.9688,26604.51172
E8,81,,
E9,81,379120.2188,27294.89063
E10,81,,
E11,81,,
E12,81,,
F1,81,368395.2813,30066.51563
F2,81,,
F3,81,337188.5625,26646.85938
F4,81,,
F5,81,332946.8125,27932.30469
F6,81,,
F7,81,341926.25,28297.18359
F8,81,,
F9,81,361780.4688,28666.75
F10,81,,
F11,81,,
F12,81,,
G1,81,185237.3125,32582.99805
G2,81,,
G3,81,208414.8281,31963.79688
G4,81,,
G5,81,195325.8125,34031.25
G6,81,,
G7,81,192256.4063,31594.63672
G8,81,,
G9,81,240893.6406,42262.92578
G10,81,,
G11,81,,
G12,81,,
H1,81,48752.69531,33590.05078
H2,81,,
H3,81,51705.02344,36841.71094
H4,81,,
H5,81,8494.862305,33690.02344
H6,81,,
H7,81,47097.64063,36465.19922
H8,81,,
H9,81,-10628.13086,-2050.695801
H10,81,,
H11,81,,
H12,81,,
A1,82,-9086.172852,31524.41992
A2,82,,
A3,82,-7999.00293,39950.76172
A4,82,,
A5,82,-9165.516602,33822.74219
A6,82,,
A7,82,-9825.22168,35664.99219
A8,82,,
A9,82,-8937.048828,39740.96875
A10,82,,
A11,82,,
A12,82,,
B1,82,-11101.98242,29455.86719
B2,82,,
B3,82,-14914.16406,37353.96094
B4,82,,
B5,82,-13340.77148,32556.50977
B6,82,,
B7,82,-15197.49414,31899.87695
B8,82,,
B9,82,-11771.95313,33376.10547
B10,82,,
B11,82,,
B12,82,,
C1,82,-14074.91309,40113.21094
C2,82,,
C3,82,-16037.7627,36116.52734
C4,82,,
C5,82,-18048.66602,32040.33203
C6,82,,
C7,82,-15077.72754,22662.35156
C8,82,,
C9,82,-13232.66113,34902.33984
C10,82,,
C11,82,,
C12,82,,
D1,82,-14949.00391,33621.03516
D2,82,,
D3,82,-16494.50586,32848.97266
D4,82,,
D5,82,-16010.74805,31115.81055
D6,82,,
D7,82,-14115.66797,22557.06836
D8,82,,
D9,82,-14081.76172,36471.61719
D10,82,,
D11,82,,
D12,82,,
E1,82,-15012.84961,35162.91016
E2,82,,
E3,82,-14784.06055,35471.53125
E4,82,,
E5,82,-14334.7959,36515.52734
E6,82,,
E7,82,-14501.33887,34586.19922
E8,82,,
E9,82,-13993.94141,31879.49414
E10,82,,
E11,82,,
E12,82,,
F1,82,-15323.68945,37578.63281
F2,82,,
F3,82,-14620.04199,35491.91016
F4,82,,
F5,82,-12558.12793,34807.18359
F6,82,,
F7,82,-15169.84277,35155.74609
F8,82,,
F9,82,-14287.59082,38118.10938
F10,82,,
F11,82,,
F12,82,,
G1,82,-13440.28125,33931.39844
G2,82,,
G3,82,-14326.70898,35388.58594
G4,82,,
G5,82,-14575.05566,36793.31641
G6,82,,
G7,82,-15189.11719,34001.73047
G8,82,,
G9,82,-13902.13281,44437.07422
G10,82,,
G11,82,,
G12,82,,
H1,82,-15194.62695,32011.76172
H2,82,,
H3,82,-14672.24609,36389.73047
H4,82,,
H5,82,-13439.01758,33972.59766
H6,82,,
H7,82,-15455.26465,35753.69922
H8,82,,
H9,82,-11183.23535,-2125.956543
H10,82,,
H11,82,,
H12,82,,
A1,83,292362.5625,24645.87109
A2,83,,
A3,83,364458.0625,30548.32422
A4,83,,
A5,83,319205.375,23421.4375
A6,83,,
A7,83,354264.4375,25999.45313
A8,83,,
A9,83,386895.875,27627.74609
A10,83,,
A11,83,,
A12,83,,
B1,83,278904.5,24063.83203
B2,83,,
B3,83,349166.25,26880.43359
B4,83,,
B5,83,312176.2813,22324.80859
B6,83,,
B7,83,321859.7188,23225.68359
B8,83,,
B9,83,325332.8438,23436.22266
B10,83,,
B11,83,,
B12,83,,
C1,83,360368.1563,30173.20313
C2,83,,
C3,83,341243.0313,27002.77734
C4,83,,
C5,83,310436.1563,23771.36719
C6,83,,
C7,83,346204.8438,26526.90625
C8,83,,
C9,83,336307.9375,24058.30078
C10,83,,
C11,83,,
C12,83,,
D1,83,314371.4375,26222.67969
D2,83,,
D3,83,314962.7813,24430.83203
D4,83,,
D5,83,304433.9063,24294.58984
D6,83,,
D7,83,312280.7813,25420.42969
D8,83,,
D9,83,388983.0625,30657.91797
D10,83,,
D11,83,,
D12,83,,
E1,83,306920.0313,27622.25391
E2,83,,
E3,83,338241.2813,27374.85547
E4,83,,
E5,83,344004.6875,28661.92188
E6,83,,
E7,83,326088.9063,26134.58984
E8,83,,
E9,83,350577.2813,27319.99609
E10,83,,
E11,83,,
E12,83,,
F1,83,293890.375,31178.125
F2,83,,
F3,83,275152.9688,27739.07031
F4,83,,
F5,83,293897.6563,28040.98438
F6,83,,
F7,83,307708.3125,28099.57031
F8,83,,
F9,83,313452.8125,29535.51953
F10,83,,
F11,83,,
F12,83,,
G1,83,93027.44531,31325.4707
G2,83,,
G3,83,133927.7344,31768.18164
G4,83,,
G5,83,153537.7188,33175.02734
G6,83,,
G7,83,164692.625,30601.41602
G8,83,,
G9,83,204118.1406,41276.17188
G10,83,,
G11,83,,
G12,83,,
H1,83,15877.80469,31725.55078
H2,83,,
H3,83,23674.75,34845.625
H4,83,,
H5,83,11305.47266,31774.96875
H6,83,,
H7,83,34127.83984,34851.92578
H8,83,,
H9,83,-10627.95996,-2040.95166
H10,83,,
H11,83,,
H12,83,,
A1,84,342188.3438,23597.97266
A2,84,,
A3,84,423012.625,29502.67578
A4,84,,
A5,84,357711.875,23265.60156
A6,84,,
A7,84,392827.8438,25913.46094
A8,84,,
A9,84,436176.1875,26904.86719
A10,84,,
A11,84,,
A12,84,,
B1,84,316826.6875,22686.86328
B2,84,,
B3,84,406794.2813,25815.68359
B4,84,,
B5,84,345227.9688,22303.60156
B6,84,,
B7,84,345458,23161
B8,84,,
B9,84,359962.5313,23330.21875
B10,84,,
B11,84,,
B12,84,,
C1,84,418776.4375,29169.625
C2,84,,
C3,84,396524.9063,25900.39453
C4,84,,
C5,84,335896.1563,23195.41016
C6,84,,
C7,84,369394.7188,26811.15234
C8,84,,
C9,84,371504.2813,23789.55859
C10,84,,
C11,84,,
C12,84,,
D1,84,367261.4375,24895.47266
D2,84,,
D3,84,345904.8125,23814.83984
D4,84,,
D5,84,331550.0625,24229.41016
D6,84,,
D7,84,336692.0313,25782.32031
D8,84,,
D9,84,416583.2188,30711.75391
D10,84,,
D11,84,,
D12,84,,
E1,84,370289.25,26641.90234
E2,84,,
E3,84,378483.125,26712.58594
E4,84,,
E5,84,377901.125,28517.4375
E6,84,,
E7,84,358833.4063,26186.40234
E8,84,,
E9,84,382074.3438,27146.375
E10,84,,
E11,84,,
E12,84,,
F1,84,380398.6563,29583.96875
F2,84,,
F3,84,347415.5,26039.37109
F4,84,,
F5,84,344846.6563,27412.35547
F6,84,,
F7,84,353935.4063,27589.30078
F8,84,,
F9,84,374704.3438,28264.66406
F10,84,,
F11,84,,
F12,84,,
G1,84,244703.0625,30680.08594
G2,84,,
G3,84,269562.1875,30049.77734
G4,84,,
G5,84,259215.4063,31969.71484
G6,84,,
G7,84,252516.2969,30065.03125
G8,84,,
G9,84,315997.2813,40360.53906
G10,84,,
G11,84,,
G12,84,,
H1,84,92413.4375,33066.67969
H2,84,,
H3,84,95432.35938,36122.62109
H4,84,,
